iter	MultiClass
328	0.3217306252
329	0.3214663081
330	0.321091732
331	0.320847986
332	0.3206870534
333	0.3206000201
334	0.3202959566
335	0.320091856
336	0.3197697413
337	0.3194685835
338	0.319212969
339	0.3189415152
340	0.3185880427
341	0.3182707768
342	0.3179595047
343	0.3176837189
344	0.3175033881
345	0.3174009485
346	0.3171039915
347	0.316751291
348	0.3166463118
349	0.3164265617
350	0.3160665025
351	0.3159177271
352	0.3155972993
353	0.3154727194
354	0.3152893958
355	0.314958717
356	0.3148202269
357	0.314435012
358	0.3143215358
359	0.3141009319
360	0.3139918365
361	0.3137003446
362	0.3134325649
363	0.3130615561
364	0.3127845394
365	0.3125063589
366	0.312084245
367	0.3119076643
368	0.3116491696
369	0.3114413548
370	0.3109521313
371	0.310792438
372	0.3106323327
373	0.3103960922
374	0.3101189326
375	0.3099320678
376	0.3097598471
377	0.3095414649
378	0.3092322598
379	0.3090365034
380	0.308822202
381	0.3086416172
382	0.3084076562
383	0.3081025493
384	0.3078849314
385	0.3076087493
386	0.3073759214
387	0.3071753805
388	0.3070044725
389	0.3066433603
390	0.3063879439
391	0.3061736414
392	0.3060729357
393	0.3058384633
394	0.3056949067
395	0.3054299896
396	0.3052874538
397	0.3049217094
398	0.3047297995
399	0.3044459047
400	0.3043983694
401	0.3041752752
402	0.3039999771
403	0.3036448508
404	0.3033677813
405	0.3030312574
406	0.3028705356
407	0.3028325942
408	0.3026550991
409	0.3024306173
410	0.3021460603
411	0.3019815319
412	0.3016412721
413	0.3013996879
414	0.3013410695
415	0.3012324451
416	0.3010182935
417	0.3009276138
418	0.3007091045
419	0.3005412358
420	0.3003312484
421	0.3001141721
422	0.2997206409
423	0.2995158303
424	0.2993016252
425	0.2991181053
426	0.2988901067
427	0.2987596951
428	0.2986262479
429	0.2983595496
430	0.2980855971
431	0.2979108294
432	0.2975064881
433	0.2973209441
434	0.2971181996
435	0.296964468
436	0.2967903183
437	0.296550743
438	0.2963132791
439	0.2961524284
440	0.296019382
441	0.2958125619
442	0.2957029637
443	0.2953434661
444	0.2951215604
445	0.2949226087
446	0.2947421735
447	0.2945814255
448	0.2943911647
449	0.2941354478
450	0.2938678929
451	0.2936578035
452	0.293502539
453	0.2932849486
454	0.2931359071
455	0.292929867
456	0.2926958773
457	0.2925675417
458	0.2922585565
459	0.2920704497
460	0.2917862068
461	0.2914803942
462	0.2912083016
463	0.2909753827
464	0.2907511883
465	0.2905182434
466	0.2902813841
467	0.2900209963
468	0.2898915532
469	0.2897052345
470	0.2895971909
471	0.2894140482
472	0.2893211605
473	0.2890865622
474	0.2889196766
475	0.2885900783
476	0.2882425848
477	0.2879107074
478	0.287687125
479	0.287438468
480	0.2872496574
481	0.286983777
482	0.2868289752
483	0.2865458965
484	0.2862982874
485	0.2860676086
486	0.2859867421
487	0.2859011808
488	0.2856269206
489	0.285567987
490	0.2854855417
491	0.285283159
492	0.2850054614
493	0.2848132543
494	0.2845272779
495	0.2843332208
496	0.2841876809
497	0.2840295447
498	0.283823786
499	0.2835975377
500	0.2834231366
501	0.282998042
502	0.2827483778
503	0.2825343804
504	0.2824401223
505	0.2822843487
506	0.2820300926
507	0.2817547911
508	0.2816589128
509	0.2815078066
510	0.2813232713
511	0.2810055688
512	0.2808129717
513	0.2805912336
514	0.2804080493
515	0.2802334281
516	0.2801473431
517	0.2799565456
518	0.2796226573
519	0.2793259915
520	0.2790866045
521	0.2788881779
522	0.2786820504
523	0.2784965005
524	0.2783645412
525	0.27814298
526	0.2780185795
527	0.2778738881
528	0.277782268
529	0.2776482191
530	0.2774665499
531	0.2772796864
532	0.2771795222
533	0.2768694955
534	0.2766834308
535	0.2764420869
536	0.2762556505
537	0.2760771348
538	0.2759076929
539	0.2756940294
540	0.275338517
541	0.2751920906
542	0.2750876515
543	0.2750419321
544	0.2749189683
545	0.2746645203
546	0.2744858739
547	0.2738789654
548	0.2737321693
549	0.2735683797
550	0.2734419579
551	0.2732492786
552	0.2729994341
553	0.2727535371
554	0.2725220304
555	0.2722765859
556	0.2719409232
557	0.2717927862
558	0.2715596333
559	0.2714033895
560	0.2712903723
561	0.2710876995
562	0.2708616367
563	0.270506561
564	0.2703800712
565	0.2701553494
566	0.2700606651
567	0.2698857085
568	0.2696491429
569	0.269331248
570	0.2692841396
571	0.268878053
572	0.268680898
573	0.2684810821
574	0.2683185412
575	0.2681780455
576	0.2681418026
577	0.2678565092
578	0.2676432409
579	0.2675152995
580	0.2673504227
581	0.2671639867
582	0.2668953668
583	0.2667906728
584	0.2665390268
585	0.2664376653
586	0.2662317927
587	0.2659674227
588	0.2656512796
589	0.2653806996
590	0.2650594179
591	0.2648688574
592	0.2645545076
593	0.2642213175
594	0.2641091831
595	0.2638889256
596	0.2637311795
597	0.2636021118
598	0.2632494808
599	0.2630856581
600	0.2630228495
601	0.2628759942
602	0.2627630465
603	0.2625045127
604	0.2623331359
605	0.2621278084
606	0.2618940976
607	0.2616739617
608	0.2613835519
609	0.2611165552
610	0.260898286
611	0.2607232794
612	0.2604969538
613	0.2603719522
614	0.2600733362
615	0.2599115523
616	0.2596727502
617	0.2595334082
618	0.2592410519
619	0.2589801755
620	0.2587946326
621	0.2585977998
622	0.2582839761
623	0.2580934481
624	0.2578397679
625	0.2576725574
626	0.2574273729
627	0.2572296668
628	0.257138096
629	0.256875057
630	0.2567131417
631	0.2564535695
632	0.2563653845
633	0.2562257237
634	0.256062025
635	0.2559427059
636	0.25573097
637	0.2555886412
638	0.255447696
639	0.2552359656
640	0.2551160805
641	0.2550792139
642	0.254912485
643	0.2547047045
644	0.2543585235
645	0.2538354395
646	0.2536824384
647	0.2536248961
648	0.2534912314
649	0.2533530608
650	0.2532231953
651	0.2531372836
652	0.2529733382
653	0.2528562338
654	0.2525777747
655	0.2525030977
656	0.2524001761
657	0.2520208092
658	0.2518399589
659	0.2515926177
660	0.2514215095
661	0.2511528129
662	0.251046052
663	0.2509856235
664	0.2507542771
665	0.250656974
